리뷰,rep,index,Processing,평가
어제 낮에 고기를 먹고나서 언니와 뚝섬 한강공원으로 산책을 갔어요.,0,0,"['어제', '낮', '고기', '먹다', '언니', '뚝섬', '한강', '공원', '산책', '가다']",긍정
"가다가 만난 17살짜리 할아버지 강아지도 너무 귀엽고, 이쁜 토끼들도 만났어요. ^^",1,0,"['가다가', '만난', '17', '살', '짜다', '할아버지', '강아지', '도', '너무', '귀엽다', '이쁘다', '토끼', '도', '만나다', '^^']",긍정
"오른쪽으로 롯데 월드타워 보니
반갑네요.",2,0,"['오른쪽', '롯데', '월드', '타워', '보다', '\r\n', '반갑다']",긍정
"날씨가 따뜻해서 물멍하기도 좋고, 반짝이는 윤슬이 너무 예뻤어요. ✨️^^",3,0,"['날씨', '따뜻하다', '물', '멍하다', '좋다', '반짝이다', '윤슬', '너무', '예쁘다', '✨️', '^^']",긍정
"반려견 동반 환경반겨견을 데리고 나와 산책하기 편리하고, 강아지들이 좋아해요.",4,0,"['반려견', '동반', '환경', '반기다', '견', '데리', '고', '나오다', '산책', '하다', '편리하다', '강아지', '좋아하다']",긍정
오랜만에 방문한 뚝섬 한강공원!,0,1,"['오랜', '만', '방문', '한', '뚝섬', '한강', '공원']",긍정
연휴라 사람이 엄청 많았어요.,1,1,"['연휴', '라', '사람', '엄청', '많다']",부정
"가벼운 돗자리나 손수건, 썬글라스 챙기면 좋겠네요.",2,1,"['가볍다', '돗자리', '손수건', '썬글라스', '챙기다', '좋다']",긍정
"근처에서 텐트, 돗자리, 보드게임 등 렌트할 수 있는 업체가 있어서 빈손으로 오더라도 한강에서의 시간을 즐겁게 보내실 수 있을 것 같아요",3,1,"['근처', '텐트', '돗자리', '보드게임', '렌트', '하다', '수', '업체', '빈손', '오다', '한강', '에서의', '즐겁다', '보내다', '수']",긍정
:),4,1,[':)'],긍정
대한치과의사협회 주관 스마일런페스티벌 행사 참여로 갔었는데 코로나 전에는 퇴근 후 피크닉으로 왔었던 기억이 있네요.,0,2,"['대', '한', '치과의사', '협회', '주관', '스마일', '런', '페스티벌', '행사', '참여', '가다', '코로나', '전', '에는', '퇴근', '후', '피크닉', '오다', '기억']",긍정
서울에 이런 곳이 있는 건 참 좋은 것 같습니다.  ^^,1,2,"['서울', '이렇다', '곳', '건', '차다', '좋다', '^^']",긍정
"여름엔 수영장.피크닉존등 운영하고
이후엔 강아지 수영장도 운영했어요.",0,3,"['여름', '엔', '수영장', '피크닉', '존등', '운영', '하고', '\r\n', '이후', '엔', '강아지', '수영장', '도', '운영', '하다']",긍정
다양한 먹거리 배달.,1,3,"['다양하다', '먹거리', '배달']",부정
"피크닉품목 대여하는곳도 있고 편의점도 잘갖춰져 있고 자전거타고 트레킹하고
수영하고..",2,3,"['피크닉', '품목', '대여', '하다', '곳도', '편의점', '도', '잘', '갖추다', '자전거', '타고', '트레킹', '하고', '\r\n', '수영', '하고', '..']",긍정
한강공원은 멋진곳입니다.,3,3,"['한강', '공원', '은', '멋지다', '곳', '이다']",긍정
놀이터인공암벽시설.,4,3,"['놀이터', '인공', '암벽', '시설']",부정
도서.,5,3,['도서'],긍정
공연등  수시로 열립니다,6,3,"['공', '연등', '수시로', '열리다']",부정
화장실주변곳곳에 시설이 잘갖춰져 있어요,7,3,"['화장실', '주변', '곳곳', '시설', '잘', '갖추다']",긍정
반려견 동반 환경산책하기 좋은 장소임피크닉 구역배달 피크닉세트 임대등 환경이 잘갖춰져 있어요,8,3,"['반려견', '동반', '환경', '산책', '하다', '좋다', '장소', '임', '피크닉', '구역', '배달', '피크닉', '세트', '임대', '환경', '잘', '갖추다']",긍정
드론쇼 보고 왔는데 예쁘고 좋았지만 많은 인파를 뚫고 가기엔 좀 아쉬웠구요.,0,4,"['드론', '쇼', '보고', '오다', '예쁘다', '좋다', '많다', '인파', '뚫다', '가기', '엔', '아쉽다']",부정
주변 시설이나 놀거리는 여의도 한강공원이 좀 더 나은 것 같습니다.,1,4,"['주변', '시설', '이나', '놀', '거리', '는', '여의도', '한강', '공원', '더', '나은']",부정
건대가 가까워서 한강 갔다가 놀러 가기 좋아요,2,4,"['건대', '가깝다', '한강', '가다', '놀다', '가기', '좋다']",긍정
뚝섬 한강공원에서 드론 라이트 쇼,0,5,"['뚝섬', '한강', '공원', '드론', '라이트', '쇼']",긍정
보고 왔어요,1,5,"['보고', '오다']",부정
"세상에 이렇게 멋진 드론 라이트 쇼를 보게 되다니
정말 너무너무 좋았던거 같아요",2,5,"['세상', '이렇게', '멋지다', '드론', '라이트', '쇼', '보다', '되다', '\r\n', '정말', '너무', '너무', '좋다']",긍정
뚝섬 한강공원에서 좋은 추억 남기고 왔어요,3,5,"['뚝섬', '한강', '공원', '좋다', '추억', '남다', '오다']",긍정
친구들과 함께 당일치기로 밤까지 시간을 함께 보냈습니다!,0,6,"['친구', '당일치기', '밤', '보내다']",긍정
잠실과 여의도에서 행사가 있어서 밤에는 간접적으로 불꽃놀이도 구경할 수 있었어요,1,6,"['잠실', '여의도', '행사', '밤', '에는', '간접', '적', '불꽃놀이', '도', '구경', '하다', '수']",긍정
"배달존이 있어 배달로 음식을 시켜먹을 수 있지만, 미리 맛집을 찾아서 족발과 막국수를 준비해갔고 서로 집에서 간식들도 바리바리 싸들고 왔습니다.",2,6,"['배달', '존', '배달', '음식', '먹다', '수', '미리', '맛집', '찾다', '족발', '막국수', '준비', '하다', '가다', '서로', '집', '간식', '도', '바리바리', '싸', '들다', '오다']",긍정
물론 쓰레기도 깨끗하게 치웠습니다!,3,6,"['쓰레기', '도', '깨끗하다', '치우다']",긍정
추천하는 장소는 매점 근처입니다!,4,6,"['추천', '하다', '장소', '는', '매점', '근처', '이다']",긍정
"편의점이 근처에 있어서 필요할때 물건을 바로바로 수급할 수 있었고, 화장실과 흡연실도 그리 멀지 않고 가까워서 자주 가거나 필요하시다면 괜찮다고 생각합니다.",5,6,"['편의점', '근처', '필요하다', '물건', '바로바로', '수급', '하다', '수', '화장실', '흡연실', '도', '그리다', '멀다', '않다', '가깝다', '자주', '가다', '필요하다', '괜찮다', '생각', '하다']",긍정
화장실남자 화장실 문을 열었으면 제발 닫고 들어와주세요,6,6,"['화장실', '남자', '화장실', '문', '열다', '제발', '닫다', '들어오다']",긍정
어제 다녀왔는데 자벌레 휴관 23.8.1~23.12.31까지!,0,7,"['어제', '다녀오다', '자벌레', '관', '23.8', '1~23', '12.31']",부정
입구가 양쪽 끝에랑 중간에 두군데 엘리베이터가 있다.,1,7,"['입구', '양쪽', '끝', '랑', '중간', '두', '군데', '엘리베이터']",부정
안쪽에는 전시와 도서관과 카페가 있다피크닉 구역… 자세히,2,7,"['안쪽', '에는', '전시', '도서관', '카페', '피크닉', '구역', '자세하다']",부정
드론쇼를 보기위해 뚝섬공원에 많은 임파가 모였어요,0,8,"['드론', '쇼', '보기', '위해', '뚝섬', '공원', '많다', '임파', '모이다']",긍정
드론쇼가 나름 멋있어요,1,8,"['드론', '쇼', '나름', '멋있다']",긍정
"드론쇼보러~
요즘 한강 가기 좋은날씨라
기분좋게 피크닉하고 드론쇼도 너무 환상이였음",0,9,"['드론', '쇼', '보다', '\r\n', '요즘', '한강', '가기', '좋다', '날씨', '라', '\r\n', '기분', '좋다', '피크닉', '하고', '드론', '쇼', '도', '너무', '환상', '이다']",긍정
드론라이트쇼 보러갔다.,0,10,"['드론', '라이트', '쇼', '보다', '가다']",부정
상당히 예뻤지만 인파가 너무 많아서 나무에 가려져서 제대로 못본게 아쉽다.,1,10,"['상당하다', '예쁘다', '인파', '너무', '많다', '나무', '가려지다', '제대로', '못', '보다', '아쉽다']",부정
덥지않고 조용히 피크닉ㆍ물놀이 하기 좋은곳으로 가족단위ㆍ연인들 데이트 딱 좋다,0,11,"['덥다', '않다', '조용하다', '피크닉', 'ㆍ', '물놀이', '하다', '좋다', '곳', '가족', '단위', 'ㆍ', '연', '인들', '데이트', '좋다']",긍정
ㆍ멀리 잠실운동장과 롯데 타워가 보인다,1,11,"['ㆍ', '멀리', '잠실운동장', '롯데', '타워', '보이다']",긍정
15분 거리에 이렇게 좋은 공원이 있다는 게 행복.,0,12,"['15분', '거리', '이렇게', '좋다', '공원', '게', '행복']",긍정
간단하게 돗자리만 들고가서 싸간 빵이랑 연어랑 먹고 옴.,1,12,"['간단하다', '돗자리', '만', '들다', '싸', '가다', '빵', '이랑', '연어', '랑', '먹다', '옴']",긍정
비 올랑말랑 불안했는데 그래도 다행히 안와서 잘 놀고 옴,2,12,"['비', '오다', '말', '랑', '불안하다', '다행하다', '안', '오다', '자다', '놀다', '옴']",부정
"날씨도 좋았고😆아는동생에초대로가게된곳
텐트치고 아름다운하늘 가을을 즐기고온곳…",0,13,"['날씨', '도', '좋다', '😆', '알다', '동생', '초대', '가게', '되다', '곳', '\r\n', '텐트', '치고', '아름답다', '하늘', '가을', '즐기다', '고온', '곳']",긍정
추석 연휴때 저녁8시에 뚝섬유원지에서 드론쇼가 열린다는 소식을 듣고 구경하러 갔음.,0,14,"['추석', '연휴', '저녁', '8시', '뚝섬', '유원지', '드론', '쇼', '열리다', '소식', '듣다', '구경', '하다', '가다']",긍정
주차장이 따로 있어서 차량을 가지고 가는 것도 가능했으나 워낙 사람들이 많이 구경올 것 같아서 차량이동은 포기하고 지하철을 이용했음.,1,14,"['주차장', '따로', '차량', '가지', '고', '가다', '도', '가능하다', '워낙', '사람', '많이', '경', '올', '차량', '이동', '은', '포기', '하고', '지하철', '이용', '하다']",긍정
7호선 뚝섬유원지역에서 내리니 벌써 사람들이 몰려들어서 경찰까지 출동하여 질서 유지하느라 고생이 많고 난리가 아니었음.,2,14,"['호선', '뚝섬유원지역', '내리다', '벌써', '사람', '몰려들다', '경찰', '출동', '하다', '질서', '유지', '하다', '고생', '많다', '난리', '아니다']",부정
그래도 이태원 참사기억이 남아있는 기간이라 그런지 대체로 질서를 지키며 이동을 하는 모습으로 무사히 한강변으로 이동하여 드론쇼를 관람하였음.,3,14,"['이태원', '참사', '기억', '남다', '기간', '이라', '그렇다', '대체로', '질서', '지키다', '이동', '하다', '모습', '무사하다', '한', '강변', '이동', '하다', '드론', '쇼', '관람', '하다']",긍정
"약 1천대의 드론이 하늘로 떠오르는 모습 자체가 장관이었고, 10분간 펼쳐지는 드론쇼의 하늘영상이 환상적이었음.",4,14,"['약', '1천', '대의', '드론', '하늘', '떠오르다', '모습', '자체', '장관', '이다', '10분', '간', '펼쳐지다', '드론', '쇼', '하늘', '영상', '환상', '적다']",부정
"다만, 너무 사람들이 많아서 정신이 없었음.",5,14,"['너무', '사람', '많다', '정신', '없다']",부정
"다른 지인은 한강 반대편 잠실 측에서 구경을 했다는데, 한강변 하늘 공연이라 맞은편 한강변에서 여유있게 관람하는 방법도 추천함.",6,14,"['지인', '은', '한강', '반대편', '잠실', '측', '구경', '하다', '한', '강변', '하늘', '공연', '이라', '맞은편', '한', '강변', '여유', '관람', '하다', '방법', '도', '추천', '함']",긍정
한강라면이 먹고싶다면 편의점가까운 3주차장이용!,0,15,"['한강', '라면', '먹다', '편의점', '가깝다', '주차장', '이용']",긍정
단..,1,15,"['단', '..']",부정
"공간이 부족
아이랑 간다면 편의점 화장실 놀이터가까운 3주차장 이용하면 좋음!",2,15,"['공간', '부족', '\r\n', '랑', '간다', '면', '편의점', '화장실', '놀이터', '가깝다', '주차장', '이용', '하다', '좋다']",긍정
산책과 자전거와 밥먹는게 딱좋음,0,16,"['산책', '자전거', '밥', '먹다', '딱좋다']",긍정
강아지와 산책하기 좋음,0,17,"['강아지', '산책', '하다', '좋다']",긍정
바람이 살짝살짝 불때 돗자리 펴놓구 누어있으면 시원하다,1,17,"['바람', '살짝살짝', '불때', '돗자리', '펴다', '누', '시원하다']",긍정
공원이 잘 정비돼 있어서 좋아요.,0,18,"['공원', '자다', '정비', '돼다', '좋다']",긍정
여러가지 사회활동도 열려서 좋네요.,1,18,"['여러가지', '사회', '활동', '도', '열리다', '좋다']",긍정
It's a nice park which is clean and set up well.,2,18,"['It', 's', 'a', 'nice', 'park', 'which', 'is', 'clean', 'and', 'set', 'up', 'well']",긍정
There are lots of social works on here too.,3,18,"['There', 'are', 'lots', 'of', 'social', 'works', 'on', 'here', 'too']",긍정
전철역 7호선 뚝섬유원지역과 연결되어 있으며 넓은 잔디밭과 주차장 편의점 화장실등 편의시설이 잘 갗추어져 있어 남녀노소 누구나 즐기기에 좋음,0,19,"['전철역', '호선', '뚝섬유원지역', '연결', '되어다', '넓다', '잔디밭', '주차장', '편의점', '화장실', '편의', '시설', '자다', '갗', '추다', '남녀', '노소', '즐기다', '좋다']",긍정
이따금씩 생각나면 찾게되는 한강공원이죠.,0,20,"['이따금', '씩', '생각나다', '찾다', '되다', '한강', '공원', '죠']",긍정
접근성도 역앞이라 좋고 물멍 때리기도 적당하고 친구들이랑 매트깔고 배달음식 시켜먹거나 라면먹기 딱 좋은 곳이라고 생각합니다,1,20,"['접근성', '도', '역앞', '이라', '좋다', '물멍', '때리다', '기도', '적당하다', '친구', '이랑', '매트', '깔다', '배달', '음식', '먹다', '라면', '먹기', '좋다', '곳', '이라고', '생각', '하다']",긍정
산책하기 좋은 공원이에요.,0,21,"['산책', '하다', '좋다', '공원', '이에요']",긍정
느긋하게 시간 보낼때 오면 좋을것 같습니다.,1,21,"['느긋하다', '보내다', '오다', '좋다']",긍정
다만 주변에 식당이나 상점이 적어서 그거까지 고려하고 와야 편합니다.,2,21,"['주변', '식당', '이나', '상점', '적다', '그거', '고려', '하고', '오다', '편하다']",긍정
가볍게 나들이 가기 좋아요~,0,22,"['가볍다', '나들이', '가기', '좋다']",긍정
음식가격은 좀 비싸요,1,22,"['음식', '가격', '은', '비싸다']",부정
서울로 바람쐐고 싶을 때 즐겨 가는 곳입니다.,0,23,"['서울', '바람쐐', '고', '싶다', '즐기다', '가다', '곳', '이다']",부정
텐트나 돗자리 펴고 노는 사람들도 많고 활기차네요.,1,23,"['텐트', '돗자리', '펴다', '노', '는', '사람', '도', '많다', '활기차다']",긍정
"자전거 타기도 좋고 걷기도 좋고, 라면은 꿀맛.",0,24,"['자전거', '타', '기도', '좋다', '걷기', '도', '좋다', '라면', '은', '꿀맛']",긍정
뚝섬유원지역에서 가깝고 역 앞에 자전거 대여서도 있고 따릉이도 있어요.,1,24,"['뚝섬유원지역', '가깝다', '역', '앞', '자전거', '대', '여서', '도', '따릉이', '도']",긍정
